 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare.unity
 0 kb	 0.0% Assets/Scenes/Scenes_Tutorial2.unity
 0 kb	 0.0% Assets/Scenes/Scenes_Video_Player.unity
 0 kb	 0.0% Assets/Resources_moved/Textures/BlanketNormal.png
 0 kb	 0.0% Assets/Standard Assets/Effects/ImageEffects/Shaders/_BloomAndFlares/MobileBlur.shader
 0 kb	 0.0% Assets/Resources_moved/Prefabs/StomaPlaster.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Plate.fbx
 0 kb	 0.0% Assets/Resources/Audio/noI.ogg
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/IV_Pole_Metal.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/tv.png
 0 kb	 0.0% Assets/Resources_moved/Models/safe_needle.fbx
 0 kb	 0.0% Assets/CustomShaders/Standard_2-Sided.shader
 0 kb	 0.0% Assets/Resources/Animations/objects/soDisp.controller
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/hospitalbed.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/_HeadAndNeckMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/ButtocksWound_Diffuse_Alpha_Smooth_ChangedColor3_tga.tga
 0 kb	 0.0% Assets/Resources_moved/Textures/Wound_NoLightPart_Diffuse_Alpha_Smooth_tga_v3.tga
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/ReflectionProbe-0.exr
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HospitalWindow.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/BedsorePlaster_low_BedsorePlaster_Mat_Metallic.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/safe_needle_diff.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/NaClbag.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/Patient_male_v3_Dialogs.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TrayOfGauze.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BladderSpoolBag.mat
 0 kb	 0.0% Assets/FPArms/Female/Materials/FPArms_Female-Light_COL_jpg0.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/Genitals.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/fabric3 N.png
 0 kb	 0.0% Assets/Resources_moved/Models/Cannula_Packed.fbx
 0 kb	 0.0% Assets/Resources_moved/Materials/Cloth.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/towelDispenser/towel.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/TrayOfWetGauzes.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/hospital materials.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/mattress.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/plant.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/LightSet2.prefab
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/WalkToGroups/WorkFieldPos.prefab
 0 kb	 0.0% Assets/Resources/Animations/objects/BrushProthesis_Small.controller
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/HospitalWalls2.mat
 0 kb	 0.0% Assets/Standard Assets/Added Models/Prefabs/Cloth/DesinfectedCloth.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/water_transp.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/CannulaTwoParts_Separate.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/50mlsyringe.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/ButtocksWound_Roughness_inverted.png
 0 kb	 0.0% Assets/Resources_moved/Materials/soap_dispenser/soap_dispenser.002.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Blanket2_Top.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/InjectionNeedleNoCap.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/WorkField.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/alcoholBottleDiff.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/ClothPackage.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/CottonSwabStick.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/SplitedGauze.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/mH_WindowCurtains01_Mat.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BladderSpoolBag.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/BrushProthesis_Big.fbx
 0 kb	 0.0% Assets/Resources_moved/Materials/catheter_bag/catheter_bag_tube.001.mat
 0 kb	 0.0% Assets/Resources/Animations/rest/Patient_v3_WoundCare.controller
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/SkipKeyText.controller
 0 kb	 0.0% Assets/Resources_moved/Models/FoodBag1.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BakedInterior.prefab
 0 kb	 0.0% Assets/Resources/Audio/Injection/HospitalHallwaySound.mp3
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/wood 1.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/fabric3.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BedsorePlaster_Mat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/Wound.001.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Wardrobe.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/SplitedGauze_Diff.png
 0 kb	 0.0% Assets/Resources_moved/Models/ampoule.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BedsorePlaster_OnTable.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Bin.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/supplies.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/light.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/BodyArmsLegs_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Tweezers2_after1Sq.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/ampoule_02Norm.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Tweezers2.prefab
 0 kb	 0.0% Assets/Resources/Animations/rest/objects/sink_OstomyCare.controller
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Audio/Confirm.mp3
 0 kb	 0.0% Assets/Resources_moved/Models/WallLamp2.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/towlDisp_Diff.jpg
 0 kb	 0.0% Assets/Resources_moved/Textures/BedsorePlaster_low_BedsorePlaster_Mat_Albedo+Alpha_PNG4.png
 0 kb	 0.0% Assets/Resources_moved/Textures/Flashlight_Normal2.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/syringeBarrelDiff.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/safe_needle_diff.jpg
 0 kb	 0.0% Assets/FPArms/Female/blink.fbx
