User Name,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter,Covid-19-vaccin_van_Pfizer-BioNtech_injecteren,Inbrengen_neusmaagsonde,Verwisselen_huidplaat_en_stomazakje_eendelig_systeem,Verwisselen_suprapubische_verblijfskatheter,Voorbereiden_medicijn_injecteren_oplossing,Zwachtelen_onderbeen_met_korte_rek_zwachtels,Blaaskatheterisatie_bij_een_man._verblijfskatheter,Blaasspoelen_met_spoelzakje_via_verblijfskatheter,Inbrengen_canule_perifeer_infuus,Inbrengen_Saf-T-Intima_subcutane_infuuscanule,Injecteren_intramusculair_(loodrechttechniek),Injecteren_subcutaan_(huidplooitechniek),Injecteren_subcutaan_(loodrechttechniek_-_Fraxiparine),Reanimatie_met_AED_(1_persoon),Toedienen_medicijnen_in_wangzak,Toedienen_medicijnen_onder_tong,Toedienen_medicijnen_via_subcutane_infuuscanule_bolusinjectie,Verwisselen_huidplaat_en_stomazakje_tweedelig_systeem,Voorbereiden_medicijn_injecteren_ampul,Voorbereiden_medicijn_injecteren_flacon,Bloedglucosewaarde_meten_via_vingerprik,Subcutaan_injecteren_met_insulinepen,Toedienen_voeding_via_neus-maagsonde_met_pomp,Covid-19-vaccin_van_Moderna_injecteren,Techniek_handdesinfectie_met_handalcohol,Techniek_handen_wassen_met_water_en_zeep,Binnencanule_van_tracheacanule_reinigen,Toedienen_medicijnen_via_PEG-sonde
7758,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,
7792,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,
10386,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,
10395,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
10422,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,
10428,,,,,,,,,,,,,,,,,,,,,,39,,,,,75,,
10438,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
10439,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
10440,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
10442,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,
10453,126,,,,,,39,113,114,,,,,,,,,130,,,,,138,,,,,,
10464,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,
10474,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,
10476,,,,,,,,,,,57,,,,52,,,,,,,,,,,,,,
10486,,,,,,,,,,,,,,,,,,,,,,,146,,,69,,,
10490,,,,,,,,,,,,104,,,,,,,,,,,136,,,,,,
10491,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,
10493,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,
10494,,,,,,,,,,,,100,,,,,,,,,,,65,,,,,,
10495,,,,,,,,,,,,110,,,,,,,,,,,136,,,,,,
10498,,,,,,,,110,,,,98,56,,,,,,,,,,,,,,,,
10517,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,
10518,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,
10519,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
10520,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,
10521,,,,,,,,,,,,,,,,,,,,,,,,,,38,54,,
10525,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,
10526,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,
10527,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,
10530,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,
10536,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,
10549,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,
10562,115,78,,,,,,,,,,,,,52,90,,,,,,,,,,,,,
10566,120,74,,,,,,111,,69,,98,48,108,50,,,,,,,,144,,,,,,
10580,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
10588,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,
10589,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,
10590,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,
10592,,,,,,,,,,,,82,96,,,,,,,,,,,,,,,,
10597,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,
10598,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
10624,,66,,,,,,115,,,,,,,,,,,,,,,,,,,,,
10628,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
10638,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
10646,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
10649,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
10652,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,
10662,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
10669,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
10686,,,,,,,39,,,,,138,,,,,,,,,,,138,,,,,,
10690,,,,,,,,110,,,,156,,,,,,,,,,,,,,,,,
10719,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
10720,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,
10747,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,
10760,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,
10770,,,,,,,,,,,,,,92,,,,,,,,,72,,,,,,
10771,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
10778,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
10784,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
10793,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10811,,,,,,,,,,,,116,,,,,,,,,,,132,,,,,,
10814,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,
10842,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,
10849,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,
10853,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,
10854,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,
10861,,,,,,,,,110,,,47,,90,,,,,,,,,52,,,,,,
10863,,,,,,,,,,,,144,116,150,,,,,,,,,,,,,,,
10874,,,,,,,,,,,,,,,,,,,,122,,,134,,,,,,
10875,,,,,,,,,,,,98,,100,,,,,,,,,,,,,87,,
10882,,,,,,,,,,,,,,,,,,,,,,,,,,21,99,,
10899,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,
10925,,,,,,,,106,,61,,,,,,,,,,,,,,,,,,,
10934,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,
10946,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,
10990,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,
10996,,,132,,,,,,,,,,,,60,,,,,,,90,122,,,,,,
