User Name,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter_,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_in_ampul,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_in_flacon,Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_in_flacon,Techniek_handdesinfectie_,Techniek_handreiniging_,Injecteren_insuline_met_navulbare_insulinepen,Blaaskatheterisatie_bij_een_man._verblijfskatheter,Blaaskatheterisatie_bij_een_vrouw._verblijfskatheter,Blaasspoelen_met_spoelzakje_via_verblijfskatheter,Bloedglucosewaarde_meten_via_vingerprik_en_bloedglucosemeter,Covid-19-vaccin_van_Pfizer-BioNtech_injecteren,Inbrengen_neusmaagsonde,Inbrengen_Saf-T-Intima_subcutane_infuuscanule,Injecteren_intramusculair(loodrechttechniek)_-_Ampul,Injecteren_intramusculair(loodrechttechniek)_-_Flacon,Injecteren_intramusculair(loodrechttechniek)_-_Oplossing,Injecteren_intramusculair_(loodrechttechniek),Injecteren_subcutaan_(huidplooitechniek),Injecteren_subcutaan_(huidplooitechniek)_-_Ampul,Injecteren_subcutaan_(huidplooitechniek)_-_Flacon,Injecteren_subcutaan_(huidplooitechniek)_-_Oplossing,Injecteren_subcutaan_(loodrechttechniek_-_Fraxiparine),Subcutaan_injecteren_met_insulinepen,Suertubular_Exchange,Techniek_handdesinfectie,Techniek_handreiniging,Toedienen_medicijnen_in_wangzak,Toedienen_medicijnen_onder_tong,Toedienen_medicijnen_onder_tong_,Toedienen_medicijnen_via_Saf-T-Intima_subcutane_infuuscanule,Verwisselen_huidplaat_en_stomazakje_eendelig_systeem,Verwisselen_huidplaat_en_stomazakje_tweedelig_systeem,Verwisselen_suprapubische_verblijfskatheter,Voorbereiden_medicijn_injecteren_ampul,Voorbereiden_medicijn_injecteren_flacon,Voorbereiden_medicijn_injecteren_oplossing,Blaaskatheterisatie_bij_een_man._verblijfskatheter_,Injecteren_intramusculair(loodrechttechniek)_-_Medicijn_oplossing,Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_in_ampul,Bloedglucosewaarde_meten_via_vingerprik,Reanimatie_met_AED_(1_persoon),Injecteren_subcutaan_(huidplooitechniek)_-_Medicijn_oplossing,Techniek_handdesinfectie_met_handalcohol,Techniek_handen_wassen_met_water_en_zeep,Toedienen_medicijnen_via_subcutane_infuuscanule_bolusinjectie,Zwachtelen_onderbeen_met_korte_rek_zwachtels,Covid-19-vaccin_van_Moderna_injecteren,Intramusculair_injecteren_(2021-P),Inbrengen_Saf-T-Intima_subcutane_infuuscanule_,111Techniek_handdesinfectie,221Techniek_handdesinfectie,Injection_test,Injecteren_intramusculair_(loodrechttechniek)_-_Ampul,Injecteren_intramusculair_(loodrechttechniek)_-_Oplossing,Intramusculair_injecteren_(2021-M),Toedienen_voeding_via_neus-maagsonde_met_pomp,Binnencanule_van_tracheacanule_reinigen,Inbrengen_canule_perifeer_infuus,Insert_Infusion,Toedienen_medicijnen_via_PEG-sonde,Administer_nutrition_via_gastric_tube_with_pump,Bandaging,EarSyringing,PEG,Scenes_Ostomy_Care_One_Part_System,Voorbereiden_medicijn_injecteren_flacon_INHOUSE,Intramusculair_injecteren_(2021),
10422,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10453,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
10490,,,,,,,,,,,,,,,,,,75,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10494,,,,,,,,,,,,,,,,,,79,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10495,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
10566,,,,,,,,,,,,,,,,,,87,92,,,,96,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10686,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10690,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10863,,,,,,,,,,,,,,,,,,100,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10874,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,
10990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,
10996,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
11112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
11147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
11148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
11149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
11150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
